name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
boston,2021-12-26,3.4,1.2,2.2,-0.5,-5.1,-2.4,-1.2,79.24,6.07,,20.83,,0.71,1.64,51.5,31.4,303.3,1008.1,93.7,15,102.8,3.7,3,,2021-12-26T07:12:24,2021-12-26T16:17:42,0.72,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702"
boston,2021-12-27,1.7,-1.1,0.5,1.7,-6.7,-3.4,-5.2,65.61,0,,0,,0.63,1,46.2,32.9,261.2,1016.2,71,16,77.3,3.1,2,,2021-12-27T07:12:42,2021-12-27T16:18:24,0.78,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,0258W,F6999,72505914702"
boston,2021-12-28,7.2,0.7,3.9,4.2,-1.7,1.6,-0.7,74.15,1.21,,25,,0.51,1,34.3,18.5,219.3,1010,96.4,12.1,117.8,4.2,4,,2021-12-28T07:12:57,2021-12-28T16:19:08,0.83,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702"
boston,2021-12-29,5.7,2.8,4.4,5.7,-0.1,3.1,-1.1,68.08,0.03,,4.17,,0,0.33,,17.9,167.5,1013.6,99.5,16,70.8,2.5,2,,2021-12-29T07:13:11,2021-12-29T16:19:54,0.88,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702"
boston,2021-12-30,5.7,3.3,4.6,5.7,0.8,3.2,2.6,87.69,1.5,,25,,0,0,,12.8,152.9,1014.6,98.6,8,37.2,1.2,1,,2021-12-30T07:13:21,2021-12-30T16:20:41,0.93,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-12-31,7.2,4.4,5.9,6.6,2.9,4.9,4.8,92.98,0,,0,,0,0,,11.1,130,1014.4,80.5,7.3,57.1,1.9,1,,2021-12-31T07:13:30,2021-12-31T16:21:31,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,KBVY,72505914702"
boston,2022-01-01,10.7,6.8,8.3,10.7,5,7.6,8,98.18,1.57,,29.17,,0,0,,11,152.5,1009.7,89.7,3,25.7,0.8,0,,2022-01-01T07:13:36,2022-01-01T16:22:22,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,KBVY,72505914702"
boston,2022-01-02,7.9,1.1,6.1,7.3,-3.5,3.6,4.6,89.99,5.84,,50,,0,0,38.8,27.5,267.4,1003.8,95,7.3,42.8,1.4,1,,2022-01-02T07:13:40,2022-01-02T16:23:15,1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,KBVY,72505914702"
boston,2022-01-03,0.6,-5,-2.8,-4.7,-12.4,-9.2,-11.4,51.96,0,,0,,0,0,38.9,28.9,309,1019.4,94.9,16,43,1.4,1,,2022-01-03T07:13:41,2022-01-03T16:24:10,0,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
boston,2022-01-04,-0.6,-8.3,-4.5,-3.9,-16.3,-10,-15.3,43.17,0,,0,,0,0,33.5,23.8,255.1,1026.3,26.8,16,198.9,7.9,4,,2022-01-04T07:13:40,2022-01-04T16:25:06,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702"
boston,2022-01-05,10.6,-3.1,4.9,10.6,-8.3,1.9,2.5,84.14,3.21,,29.17,,0,0,49.9,31,196.7,1014.1,85.8,15.3,45,1.8,1,,2022-01-05T07:13:36,2022-01-05T16:26:04,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,KBVY,F6999,72505914702"
boston,2022-01-06,6.1,0.6,3.1,3.5,-3.6,-0.8,-3.7,63.1,0,,0,,10.11,10.11,44.4,27.7,270.8,1011.2,74.3,15.9,137.7,5.5,3,,2022-01-06T07:13:31,2022-01-06T16:27:03,0.09,Partially cloudy,Becoming cloudy in the afternoon.,snow,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,KBVY,72505914702"
boston,2022-01-07,0.6,-4.4,-1.3,-1.7,-11.4,-6.7,-5.1,76.48,10.62,,37.5,,6.88,16.98,44.5,31.4,302.2,1011.7,88.3,8.5,62.7,2.3,2,,2022-01-07T07:13:22,2022-01-07T16:28:04,0.14,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,1299W"
